feature,bin,woe,coefficient,bin_points,business_meaning,base_points_before_bin_contribution,pdo,base_score,base_good_odds
term_band_exp,36,0.5696317577537682,-1.0283958334672092,42.25703737345836,Loan term/product tenor.,503.03010422431447,50,600,20
term_band_exp,60,-1.0698348244270557,-1.0283958334672092,-79.36364070976394,Loan term/product tenor.,503.03010422431447,50,600,20
fico_band_exp,640-679,-0.3331616921074091,-0.9729101193983559,-23.381497518703785,External creditworthiness band.,503.03010422431447,50,600,20
fico_band_exp,680-719,0.054452907625156595,-0.9729101193983559,3.82153937468098,External creditworthiness band.,503.03010422431447,50,600,20
fico_band_exp,720-759,0.7271020069739715,-0.9729101193983559,51.02847708681205,External creditworthiness band.,503.03010422431447,50,600,20
fico_band_exp,760-799,1.1549984327310607,-0.9729101193983559,81.0585179171849,External creditworthiness band.,503.03010422431447,50,600,20
fico_band_exp,800+,1.5079009577392148,-0.9729101193983559,105.82543953001625,External creditworthiness band.,503.03010422431447,50,600,20
dti_band_exp,10-20,0.21210312879870627,-0.6688033931492186,10.232696331790999,Debt burden relative to income.,503.03010422431447,50,600,20
dti_band_exp,20-30,-0.2068174781655935,-0.6688033931492186,-9.977695577436677,Debt burden relative to income.,503.03010422431447,50,600,20
dti_band_exp,30+,-0.6902521901797138,-0.6688033931492186,-33.3005038372906,Debt burden relative to income.,503.03010422431447,50,600,20
dti_band_exp,<=10,0.48194341360086906,-0.6688033931492186,23.25086210852032,Debt burden relative to income.,503.03010422431447,50,600,20
verification_status_exp,Not Verified,0.5759096041876554,-0.572774856921269,23.794841152761578,Income/identity verification status.,503.03010422431447,50,600,20
verification_status_exp,Source Verified,-0.08897271681504709,-0.572774856921269,-3.6760832744401464,Income/identity verification status.,503.03010422431447,50,600,20
verification_status_exp,Verified,-0.3044985802000257,-0.572774856921269,-12.580959397822715,Income/identity verification status.,503.03010422431447,50,600,20
loan_amount_band_exp,10-15k,-0.14869966080016442,-0.3314115581689903,-3.554857299222678,Exposure size and affordability proxy.,503.03010422431447,50,600,20
loan_amount_band_exp,15-25k,-0.26187875438986374,-0.3314115581689903,-6.260549597387654,Exposure size and affordability proxy.,503.03010422431447,50,600,20
loan_amount_band_exp,25-35k,-0.2689160379361673,-0.3314115581689903,-6.428784942691475,Exposure size and affordability proxy.,503.03010422431447,50,600,20
loan_amount_band_exp,5-10k,0.40639182438263716,-0.3314115581689903,9.71532104025782,Exposure size and affordability proxy.,503.03010422431447,50,600,20
loan_amount_band_exp,<=5k,0.4566550688370621,-0.3314115581689903,10.916928767336298,Exposure size and affordability proxy.,503.03010422431447,50,600,20
home_ownership_exp,MORTGAGE,0.22792898645659623,-1.2130219217251264,19.94402234638605,Housing stability proxy.,503.03010422431447,50,600,20
home_ownership_exp,OWN,-0.07282396355949544,-1.2130219217251264,-6.3721722241745535,Housing stability proxy.,503.03010422431447,50,600,20
home_ownership_exp,RENT,-0.2245103364476721,-1.2130219217251264,-19.64488693042859,Housing stability proxy.,503.03010422431447,50,600,20
income_band_exp,100-150k,0.36855573235317146,-1.0806287024265664,28.729244956528895,Repayment capacity proxy.,503.03010422431447,50,600,20
income_band_exp,150k+,0.45590080237053593,-1.0806287024265664,35.537870333896294,Repayment capacity proxy.,503.03010422431447,50,600,20
income_band_exp,30-50k,-0.1912114336635894,-1.0806287024265664,-14.905100189694727,Repayment capacity proxy.,503.03010422431447,50,600,20
income_band_exp,50-75k,-0.03896595369195478,-1.0806287024265664,-3.0374305167724174,Repayment capacity proxy.,503.03010422431447,50,600,20
income_band_exp,75-100k,0.11718174185078184,-1.0806287024265664,9.134420307531206,Repayment capacity proxy.,503.03010422431447,50,600,20
income_band_exp,<30k,-0.2719116548199607,-1.0806287024265664,-21.195753727612754,Repayment capacity proxy.,503.03010422431447,50,600,20
purpose_exp,car,0.347877644494208,-0.7368190878636671,18.489788020007385,Loan purpose risk profile.,503.03010422431447,50,600,20
purpose_exp,credit_card,0.2944158650039758,-0.7368190878636671,15.648280422173716,Loan purpose risk profile.,503.03010422431447,50,600,20
purpose_exp,debt_consolidation,-0.09925893998124877,-0.7368190878636671,-5.275638686160191,Loan purpose risk profile.,503.03010422431447,50,600,20
purpose_exp,home_improvement,0.10947726930577346,-0.7368190878636671,5.8187455690522665,Loan purpose risk profile.,503.03010422431447,50,600,20
purpose_exp,major_purchase,0.06734816551184353,-0.7368190878636671,3.579572655957465,Loan purpose risk profile.,503.03010422431447,50,600,20
purpose_exp,medical,-0.10733616105520745,-0.7368190878636671,-5.704945104126117,Loan purpose risk profile.,503.03010422431447,50,600,20
purpose_exp,moving,-0.22692479199692586,-0.7368190878636671,-12.061112195375019,Loan purpose risk profile.,503.03010422431447,50,600,20
purpose_exp,other,-0.10621508639994627,-0.7368190878636671,-5.645359692247984,Loan purpose risk profile.,503.03010422431447,50,600,20
purpose_exp,small_business,-0.599903062324177,-0.7368190878636671,-31.885005059909762,Loan purpose risk profile.,503.03010422431447,50,600,20
purpose_exp,vacation,0.23964675155421253,-0.7368190878636671,12.737287681601911,Loan purpose risk profile.,503.03010422431447,50,600,20
open_acc_band_exp,11-15,-0.05821458493650929,-0.8826537470969228,-3.7065231577796363,Number of open credit accounts.,503.03010422431447,50,600,20
open_acc_band_exp,16-25,-0.13280834926256982,-0.8826537470969228,-8.45590881778291,Number of open credit accounts.,503.03010422431447,50,600,20
open_acc_band_exp,25+,-0.3905262166406702,-0.8826537470969228,-24.864807801642762,Number of open credit accounts.,503.03010422431447,50,600,20
open_acc_band_exp,4-6,0.18804937356077278,-0.8826537470969228,11.97310534240069,Number of open credit accounts.,503.03010422431447,50,600,20
open_acc_band_exp,7-10,0.08559144065227688,-0.8826537470969228,5.449607812739456,Number of open credit accounts.,503.03010422431447,50,600,20
open_acc_band_exp,<=3,0.28365466187629396,-0.8826537470969228,18.060294927865538,Number of open credit accounts.,503.03010422431447,50,600,20
emp_length_exp,0.0,-0.21318759638440332,-1.1012412151489996,-16.935145542062198,Employment stability proxy.,503.03010422431447,50,600,20
emp_length_exp,1.0,-0.008959209448136309,-1.1012412151489996,-0.7116995478124697,Employment stability proxy.,503.03010422431447,50,600,20
emp_length_exp,11.0,0.0771032348405563,-1.1012412151489996,6.124908418378087,Employment stability proxy.,503.03010422431447,50,600,20
emp_length_exp,2.0,0.042247031772597476,-1.1012412151489996,3.356009654984819,Employment stability proxy.,503.03010422431447,50,600,20
emp_length_exp,3.0,0.03307406543812465,-1.1012412151489996,2.6273297385105643,Employment stability proxy.,503.03010422431447,50,600,20
emp_length_exp,4.0,0.01855175781119489,-1.1012412151489996,1.4737101216112765,Employment stability proxy.,503.03010422431447,50,600,20
emp_length_exp,5.0,0.02338521097945012,-1.1012412151489996,1.8576688240094636,Employment stability proxy.,503.03010422431447,50,600,20
emp_length_exp,6.0,-0.029117080244717118,-1.1012412151489996,-2.312995690495357,Employment stability proxy.,503.03010422431447,50,600,20
emp_length_exp,7.0,0.0026771527703258486,-1.1012412151489996,0.2126670245958088,Employment stability proxy.,503.03010422431447,50,600,20
emp_length_exp,8.0,-0.013555345318472132,-1.1012412151489996,-1.076806295181025,Employment stability proxy.,503.03010422431447,50,600,20
emp_length_exp,9.0,-0.002333290156388763,-1.1012412151489996,-0.1853513481105866,Employment stability proxy.,503.03010422431447,50,600,20
pub_rec_band_exp,0,0.04568228530404286,-0.42954035360246523,1.4154558752598343,Public record severity.,503.03010422431447,50,600,20
pub_rec_band_exp,1,-0.18738682831774578,-0.42954035360246523,-5.80614094332942,Public record severity.,503.03010422431447,50,600,20
pub_rec_band_exp,2,-0.22717032063100512,-0.42954035360246523,-7.038823974801443,Public record severity.,503.03010422431447,50,600,20
pub_rec_band_exp,3+,-0.19298035885414322,-0.42954035360246523,-5.979455295019448,Public record severity.,503.03010422431447,50,600,20
revol_bal_band_exp,15-30k,-0.012987889015309348,-0.9690649942856022,-0.9078958226617433,Revolving balance burden.,503.03010422431447,50,600,20
revol_bal_band_exp,2.5-7.5k,0.0021522893978916644,-0.9690649942856022,0.15045205200026562,Revolving balance burden.,503.03010422431447,50,600,20
revol_bal_band_exp,30-60k,0.13783766576440182,-0.9690649942856022,9.635302611951472,Revolving balance burden.,503.03010422431447,50,600,20
revol_bal_band_exp,60k+,0.40920046463771986,-0.9690649942856022,28.604447731106635,Revolving balance burden.,503.03010422431447,50,600,20
revol_bal_band_exp,7.5-15k,-0.03992855884819922,-0.9690649942856022,-2.791136553480953,Revolving balance burden.,503.03010422431447,50,600,20
revol_bal_band_exp,<=2.5k,-0.10747190787826459,-0.9690649942856022,-7.512637049881667,Revolving balance burden.,503.03010422431447,50,600,20
